master_protein	protein_length	protein_description	Intensity.U2OS_1	Intensity.U2OS_2	Intensity.U2OS_3	max
A6NED2	376	sp|A6NED2|RCCD1_HUMAN	6.292611	6.158574	6.041077	6.292611
A6NFI3	1004	sp|A6NFI3|ZN316_HUMAN	NA	NA	6.2290935	6.2290935
A6NFN3	312	sp|A6NFN3|RFOX3_HUMAN	6.05423	NA	5.839717	6.05423
A6NHL2	446	sp|A6NHL2|TBAL3_HUMAN	NA	7.754822	7.748878	7.754822
A6NHR9	2005	sp|A6NHR9|SMHD1_HUMAN	6.68922	6.782521	7.1161235	7.1161235
A6NHX0	329	sp|A6NHX0|GATL2_HUMAN	6.3543325	6.546715	6.9115305	6.9115305
A6NIH7	251	sp|A6NIH7|U119B_HUMAN	6.6572745	6.3822165	6.827399	6.827399
A6NJ78	407	sp|A6NJ78|MET15_HUMAN	6.1872595	6.88966	7.0271975	7.0271975
A6NKD9	419	sp|A6NKD9|CC85C_HUMAN	NA	6.219768	NA	6.219768
A6NKF1	404	sp|A6NKF1|SAC31_HUMAN	6.5178865	6.610671	NA	6.610671
A6NLU0	287	sp|A6NLU0|RFPLA_HUMAN	NA	6.381213	6.975845	6.975845
A6NNY8	438	sp|A6NNY8|UBP27_HUMAN	NA	5.250322	NA	5.250322
A7E2V4	1837	sp|A7E2V4|ZSWM8_HUMAN	6.205598	6.0643215	6.453685	6.453685
A7KAX9	2087	sp|A7KAX9|RHG32_HUMAN	NA	NA	6.267453	6.267453
A8K0Z3	465	sp|A8K0Z3|WASH1_HUMAN	NA	NA	7.496348	7.496348
A8MT65	544	sp|A8MT65|ZN891_HUMAN	NA	NA	5.631637	5.631637
A8MT69	81	sp|A8MT69|CENPX_HUMAN	6.482044	NA	6.957327	6.957327
A8MW92	1017	sp|A8MW92|P20L1_HUMAN	6.366684	6.22089	6.795164	6.795164
A8MXV4	375	sp|A8MXV4|NUD19_HUMAN	5.920019	5.900908	6.869212	6.869212
A9UHW6	222	sp|A9UHW6|MI4GD_HUMAN	6.524876	5.386285	6.7737245	6.7737245
B0YJ81	288	sp|B0YJ81|HACD1_HUMAN	NA	NA	6.535016	6.535016
B2RTY4	2548	sp|B2RTY4|MYO9A_HUMAN	5.472903	NA	5.979091	5.979091
B7ZAQ6	455	sp|B7ZAQ6|GPHRA_HUMAN	6.273719	6.329906	6.772595	6.772595
C9JLW8	97	sp|C9JLW8|MCRI1_HUMAN	7.2943705	7.599605	7.908281	7.908281
O00115	360	sp|O00115|DNS2A_HUMAN	7.030195	7.536293	7.252867	7.536293
O00116	658	sp|O00116|ADAS_HUMAN	7.091351	7.389892	7.398929	7.398929
O00139	706	sp|O00139|KIF2A_HUMAN	6.784069	7.0271425	7.5124395	7.5124395
O00142	265	sp|O00142|KITM_HUMAN	6.026124	NA	NA	6.026124
O00148	427	sp|O00148|DX39A_HUMAN	7.535573	7.517734	7.876847	7.876847
O00151	329	sp|O00151|PDLI1_HUMAN	6.496224	7.061	6.8474235	7.061
O00154	380	sp|O00154|BACH_HUMAN	7.317786	7.454525	7.689344	7.689344
O00159	1063	sp|O00159|MYO1C_HUMAN	7.34692	7.528403	7.5993505	7.5993505
O00161	211	sp|O00161|SNP23_HUMAN	7.149435	6.763405	7.5513525	7.5513525
O00165	279	sp|O00165|HAX1_HUMAN	6.50618	6.533531	7.0708045	7.0708045
O00170	330	sp|O00170|AIP_HUMAN	7.035911	7.16694	7.2998835	7.2998835
O00178	669	sp|O00178|GTPB1_HUMAN	6.569257	6.8670435	7.5042645	7.5042645
O00180	336	sp|O00180|KCNK1_HUMAN	6.229144	NA	NA	6.229144
O00186	592	sp|O00186|STXB3_HUMAN	6.298546	6.4840115	6.8979405	6.8979405
O00189	453	sp|O00189|AP4M1_HUMAN	NA	NA	6.612105	6.612105
O00192	962	sp|O00192|ARVC_HUMAN	6.743474	6.504172	6.996809	6.996809
O00193	183	sp|O00193|SMAP_HUMAN	NA	7.917069	8.398843	8.398843
O00203	1094	sp|O00203|AP3B1_HUMAN	6.971642	6.816813	7.3911395	7.3911395
O00213	710	sp|O00213|APBB1_HUMAN	6.014563	6.394434	6.6926275	6.6926275
O00214	317	sp|O00214|LEG8_HUMAN	6.4430305	5.9091085	7.40456	7.40456
O00217	210	sp|O00217|NDUS8_HUMAN	6.850448	7.195737	7.614486	7.614486
O00221	500	sp|O00221|IKBE_HUMAN	5.856348	6.210292	6.578662	6.578662
O00231	422	sp|O00231|PSD11_HUMAN	7.6501705	7.999873	8.468407	8.468407
O00232	456	sp|O00232|PSD12_HUMAN	7.370944	7.736389	7.787133	7.787133
O00233	223	sp|O00233|PSMD9_HUMAN	7.4835265	7.500145	7.256357	7.500145
O00244	68	sp|O00244|ATOX1_HUMAN	7.4065295	7.99243	8.4822115	8.4822115
O00255	615	sp|O00255|MEN1_HUMAN	7.047002	6.303779	6.699387	7.047002
O00264	195	sp|O00264|PGRC1_HUMAN	7.710963	7.822108	7.8517395	7.8517395
O00267	1087	sp|O00267|SPT5H_HUMAN	7.084817	6.941919	7.383618	7.383618
O00268	1085	sp|O00268|TAF4_HUMAN	6.428021	NA	6.440081	6.440081
O00273	331	sp|O00273|DFFA_HUMAN	6.690781	6.752534	6.602996	6.752534
O00287	272	sp|O00287|RFXAP_HUMAN	NA	6.05446	6.631586	6.631586
O00291	1037	sp|O00291|HIP1_HUMAN	6.4867525	6.5006175	7.451587	7.451587
O00299	241	sp|O00299|CLIC1_HUMAN	8.0773975	7.9287335	8.3823165	8.3823165
O00303	357	sp|O00303|EIF3F_HUMAN	7.670895	7.99359	8.010639	8.010639
O00308	870	sp|O00308|WWP2_HUMAN	6.158935	6.247359	6.894654	6.894654
O00311	574	sp|O00311|CDC7_HUMAN	6.523317	NA	6.758594	6.758594
O00327	626	sp|O00327|BMAL1_HUMAN	NA	6.484755	6.445277	6.484755
O00329	1044	sp|O00329|PK3CD_HUMAN	6.307046	NA	6.037165	6.307046
O00330	501	sp|O00330|ODPX_HUMAN	6.842029	6.498696	6.828956	6.842029
O00391	747	sp|O00391|QSOX1_HUMAN	5.978779	6.4646275	6.481772	6.481772
O00399	190	sp|O00399|DCTN6_HUMAN	6.32453	NA	6.91083	6.91083
O00400	549	sp|O00400|ACATN_HUMAN	6.428457	6.9257335	6.877987	6.9257335
O00401	505	sp|O00401|WASL_HUMAN	6.528094	6.104385	7.397268	7.397268
O00408	941	sp|O00408|PDE2A_HUMAN	5.658212	6.272213	7.020278	7.020278
O00410	1097	sp|O00410|IPO5_HUMAN	7.298459	7.529071	7.775312	7.775312
O00411	1230	sp|O00411|RPOM_HUMAN	6.718294	6.1234895	6.844589	6.844589
O00418	725	sp|O00418|EF2K_HUMAN	6.011613	NA	NA	6.011613
O00422	153	sp|O00422|SAP18_HUMAN	7.217878	6.886242	7.758382	7.758382
O00423	815	sp|O00423|EMAL1_HUMAN	5.547467	NA	6.3930975	6.3930975
O00429	736	sp|O00429|DNM1L_HUMAN	6.927252	7.282723	7.667957	7.667957
O00442	366	sp|O00442|RTCA_HUMAN	6.8379035	7.373446	7.083731	7.373446
O00443	1686	sp|O00443|P3C2A_HUMAN	6.466704	6.8422745	7.171472	7.171472
O00458	451	sp|O00458|IFRD1_HUMAN	6.0032115	NA	6.510531	6.510531
O00459	728	sp|O00459|P85B_HUMAN	NA	6.188113	6.266567	6.266567
O00461	696	sp|O00461|GOLI4_HUMAN	6.8596825	6.240181	7.2324675	7.2324675
O00468	2067	sp|O00468|AGRIN_HUMAN	6.24839	6.041393	6.863775	6.863775
O00469	737	sp|O00469|PLOD2_HUMAN	7.0646905	7.5155605	7.527978	7.527978
O00470	390	sp|O00470|MEIS1_HUMAN	5.446599	NA	NA	5.446599
O00471	708	sp|O00471|EXOC5_HUMAN	6.753018	6.737763	7.170437	7.170437
O00478	584	sp|O00478|BT3A3_HUMAN	NA	NA	5.370384	5.370384
O00483	81	sp|O00483|NDUA4_HUMAN	7.530853	7.8991065	8.138997	8.138997
O00487	310	sp|O00487|PSDE_HUMAN	7.545082	7.515336	8.075292	8.075292
O00488	134	sp|O00488|ZN593_HUMAN	6.624807	6.646757	6.9674525	6.9674525
O00499	593	sp|O00499|BIN1_HUMAN	6.746323	6.903378	7.263352	7.263352
O00505	521	sp|O00505|IMA4_HUMAN	7.303127	7.207348	7.388015	7.388015
O00506	426	sp|O00506|STK25_HUMAN	6.561149	6.4788355	6.656663	6.656663
O00512	1426	sp|O00512|BCL9_HUMAN	5.970105	NA	6.8428595	6.8428595
O00522	736	sp|O00522|KRIT1_HUMAN	6.0327	6.124472	6.2445	6.2445
O00534	786	sp|O00534|VMA5A_HUMAN	6.591131	NA	5.985198	6.591131
O00541	588	sp|O00541|PESC_HUMAN	7.166754	7.508166	7.297585	7.508166
O00560	298	sp|O00560|SDCB1_HUMAN	6.2314265	6.8097855	6.9094755	6.9094755
O00566	681	sp|O00566|MPP10_HUMAN	7.0700315	6.939235	7.409274	7.409274
O00567	594	sp|O00567|NOP56_HUMAN	7.462412	7.501014	7.809299	7.809299
O00571	662	sp|O00571|DDX3X_HUMAN	6.976579	7.385642	7.73294	7.73294
O00584	256	sp|O00584|RNT2_HUMAN	6.418881	6.3593785	NA	6.418881
O00592	558	sp|O00592|PODXL_HUMAN	7.025511	6.340939	7.113241	7.113241
O00622	381	sp|O00622|CYR61_HUMAN	6.6953675	6.7907875	6.895704	6.895704
O00625	290	sp|O00625|PIR_HUMAN	7.000738	6.849727	6.890631	7.000738
O00629	521	sp|O00629|IMA3_HUMAN	6.9703845	7.446832	7.858928	7.858928
O00635	465	sp|O00635|TRI38_HUMAN	NA	6.421653	7.071919	7.071919
O00712	420	sp|O00712|NFIB_HUMAN	5.955885	NA	7.279592	7.279592
O00716	465	sp|O00716|E2F3_HUMAN	NA	NA	6.7105625	6.7105625
O00743	305	sp|O00743|PPP6_HUMAN	7.181872	6.907433	6.9627225	7.181872
O00754	1011	sp|O00754|MA2B1_HUMAN	6.214976	6.823807	7.057391	7.057391
O00762	179	sp|O00762|UBE2C_HUMAN	7.0288905	7.658097	7.970454	7.970454
O00763	2458	sp|O00763|ACACB_HUMAN	6.132356	7.063033	6.67071	7.063033
O00764	312	sp|O00764|PDXK_HUMAN	7.3954745	7.53548	7.887465	7.887465
O00767	359	sp|O00767|ACOD_HUMAN	6.839019	6.802062	7.5934285	7.5934285
O14494	284	sp|O14494|PLPP1_HUMAN	5.749543	NA	NA	5.749543
O14495	311	sp|O14495|PLPP3_HUMAN	5.730362	6.484172	6.928805	6.928805
O14497	2285	sp|O14497|ARI1A_HUMAN	6.73339	6.721109	7.441189	7.441189
O14519	115	sp|O14519|CDKA1_HUMAN	NA	6.210506	6.782172	6.782172
O14521	159	sp|O14521|DHSD_HUMAN	NA	NA	7.060018	7.060018
O14524	444	sp|O14524|NEMP1_HUMAN	6.9091595	7.25479	7.3906015	7.3906015
O14530	226	sp|O14530|TXND9_HUMAN	7.214355	7.0572325	7.7889655	7.7889655
O14531	572	sp|O14531|DPYL4_HUMAN	6.464549	6.4084525	6.9843945	6.9843945
O14545	582	sp|O14545|TRAD1_HUMAN	6.1767055	NA	6.235377	6.235377
O14548	114	sp|O14548|COX7R_HUMAN	7.396722	7.614961	7.687421	7.687421
O14556	408	sp|O14556|G3PT_HUMAN	5.829014	NA	NA	5.829014
O14561	156	sp|O14561|ACPM_HUMAN	7.219349	7.3998155	7.93847	7.93847
O14562	309	sp|O14562|UBFD1_HUMAN	7.0739365	7.408172	7.822475	7.822475
O14569	222	sp|O14569|C56D2_HUMAN	7.084862	NA	NA	7.084862
O14578	2027	sp|O14578|CTRO_HUMAN	6.589748	6.345805	7.025838	7.025838
O14579	308	sp|O14579|COPE_HUMAN	7.073021	7.223642	7.894805	7.894805
O14593	260	sp|O14593|RFXK_HUMAN	5.676977	NA	6.26609	6.26609
O14613	210	sp|O14613|BORG1_HUMAN	6.180298	6.523187	6.422475	6.523187
O14617	1153	sp|O14617|AP3D1_HUMAN	7.139109	6.979912	7.277449	7.277449
O14618	274	sp|O14618|CCS_HUMAN	6.2714815	6.1831355	6.5674825	6.5674825
O14639	778	sp|O14639|ABLM1_HUMAN	7.1796105	7.312114	7.26689	7.312114
O14640	695	sp|O14640|DVL1_HUMAN	5.872401	NA	6.231724	6.231724
O14641	736	sp|O14641|DVL2_HUMAN	6.771609	6.570388	7.149337	7.149337
O14646	1710	sp|O14646|CHD1_HUMAN	6.3610575	6.8283045	6.868161	6.868161
O14647	1828	sp|O14647|CHD2_HUMAN	6.0505505	6.359171	6.7264035	6.7264035
O14653	212	sp|O14653|GOSR2_HUMAN	6.146531	6.461907	7.620386	7.620386
O14656	332	sp|O14656|TOR1A_HUMAN	6.923671	6.5877435	7.508106	7.508106
O14657	336	sp|O14657|TOR1B_HUMAN	6.6850575	7.048985	7.211841	7.211841
O14662	325	sp|O14662|STX16_HUMAN	5.70786	6.437084	6.808414	6.808414
O14672	748	sp|O14672|ADA10_HUMAN	6.6692015	6.505272	6.844757	6.844757
O14678	606	sp|O14678|ABCD4_HUMAN	NA	5.507181	6.081095	6.081095
O14686	5537	sp|O14686|KMT2D_HUMAN	5.792069	NA	6.482945	6.482945
O14713	200	sp|O14713|ITBP1_HUMAN	6.065057	NA	6.368194	6.368194
O14717	391	sp|O14717|TRDMT_HUMAN	5.642761	5.923451	NA	5.923451
O14727	1248	sp|O14727|APAF_HUMAN	6.681624	6.5250885	6.615813	6.681624
O14733	419	sp|O14733|MP2K7_HUMAN	6.008813	NA	6.8520305	6.8520305
O14734	319	sp|O14734|ACOT8_HUMAN	6.640829	NA	6.338078	6.640829
O14735	213	sp|O14735|CDIPT_HUMAN	6.896101	6.80332	6.979744	6.979744
O14737	125	sp|O14737|PDCD5_HUMAN	7.4190695	7.360858	8.217773	8.217773
O14744	637	sp|O14744|ANM5_HUMAN	7.072516	7.1914525	7.548008	7.548008
O14745	358	sp|O14745|NHRF1_HUMAN	7.181129	7.481861	7.588171	7.588171
O14757	476	sp|O14757|CHK1_HUMAN	6.353262	6.816407	6.5533275	6.816407
O14763	440	sp|O14763|TR10B_HUMAN	NA	5.907002	6.585179	6.585179
O14770	477	sp|O14770|MEIS2_HUMAN	NA	4.685572	NA	4.685572
O14772	594	sp|O14772|FPGT_HUMAN	5.6302875	5.628849	6.329347	6.329347
O14773	563	sp|O14773|TPP1_HUMAN	7.001907	7.029059	7.213867	7.213867
O14775	395	sp|O14775|GBB5_HUMAN	NA	NA	5.491376	5.491376
O14776	1098	sp|O14776|TCRG1_HUMAN	6.9914525	7.326971	7.547836	7.547836
O14777	642	sp|O14777|NDC80_HUMAN	7.167465	6.825329	7.383767	7.383767
O14786	923	sp|O14786|NRP1_HUMAN	NA	5.517974	6.784204	6.784204
O14787	897	sp|O14787|TNPO2_HUMAN	6.480108	6.9155765	6.834573	6.9155765
O14795	1591	sp|O14795|UN13B_HUMAN	5.896912	NA	6.711123	6.711123
O14802	1390	sp|O14802|RPC1_HUMAN	6.487817	6.3508	6.762918	6.762918
O14817	238	sp|O14817|TSN4_HUMAN	6.443857	5.751833	6.5263	6.5263
O14818	248	sp|O14818|PSA7_HUMAN	7.579896	7.541517	8.1743355	8.1743355
O14828	347	sp|O14828|SCAM3_HUMAN	6.998952	7.762326	7.661176	7.762326
O14832	338	sp|O14832|PAHX_HUMAN	5.595143	NA	6.798796	6.798796
O14841	1288	sp|O14841|OPLA_HUMAN	5.809553	6.280647	6.533803	6.533803
O14867	736	sp|O14867|BACH1_HUMAN	6.179351	NA	NA	6.179351
O14874	412	sp|O14874|BCKD_HUMAN	5.500813	5.530699	6.4346485	6.4346485
O14880	152	sp|O14880|MGST3_HUMAN	7.2736685	7.534941	7.60835	7.60835
O14893	280	sp|O14893|GEMI2_HUMAN	5.2041395	NA	5.926966	5.926966
O14907	124	sp|O14907|TX1B3_HUMAN	7.009536	7.5505545	7.618278	7.618278
O14908	333	sp|O14908|GIPC1_HUMAN	6.704322	7.174641	7.4059795	7.4059795
O14920	756	sp|O14920|IKKB_HUMAN	6.201397	6.357077	6.835364	6.835364
O14929	419	sp|O14929|HAT1_HUMAN	7.1064715	7.224645	7.4873205	7.4873205
O14933	153	sp|O14933|UB2L6_HUMAN	NA	5.860344	NA	5.860344
O14936	926	sp|O14936|CSKP_HUMAN	6.476909	6.834952	7.198913	7.198913
O14939	933	sp|O14939|PLD2_HUMAN	5.942028	5.709177	6.366871	6.366871
O14949	82	sp|O14949|QCR8_HUMAN	7.342126	NA	7.7615955	7.7615955
O14964	777	sp|O14964|HGS_HUMAN	7.396844	7.271609	7.65458	7.65458
O14965	403	sp|O14965|AURKA_HUMAN	6.752709	6.792318	7.5734965	7.5734965
O14966	203	sp|O14966|RAB7L_HUMAN	6.18949	NA	6.620542	6.620542
O14967	610	sp|O14967|CLGN_HUMAN	6.050573	6.019324	6.374492	6.374492
O14972	297	sp|O14972|DSCR3_HUMAN	6.722634	7.005095	7.019282	7.019282
O14974	1030	sp|O14974|MYPT1_HUMAN	6.859493	6.899914	7.345864	7.345864
O14976	1311	sp|O14976|GAK_HUMAN	6.272259	6.464414	6.655158	6.655158
O14977	448	sp|O14977|AZIN1_HUMAN	NA	NA	5.732948	5.732948
O14979	420	sp|O14979|HNRDL_HUMAN	6.727289	7.982927	8.0918525	8.0918525
O14980	1071	sp|O14980|XPO1_HUMAN	7.212667	7.410256	7.751781	7.751781
O14981	1849	sp|O14981|BTAF1_HUMAN	6.2474485	6.591487	6.884784	6.884784
O15013	1369	sp|O15013|ARHGA_HUMAN	6.673646	6.740236	6.743275	6.743275
O15014	1411	sp|O15014|ZN609_HUMAN	6.338188	6.659066	6.24625	6.659066
O15020	2390	sp|O15020|SPTN2_HUMAN	6.246228	NA	6.368612	6.368612
O15027	2179	sp|O15027|SC16A_HUMAN	6.935774	6.8356875	7.0179885	7.0179885
O15031	1838	sp|O15031|PLXB2_HUMAN	6.855519	6.6681365	7.3949215	7.3949215
O15037	678	sp|O15037|KHNYN_HUMAN	5.985485	NA	NA	5.985485
O15042	1029	sp|O15042|SR140_HUMAN	7.0592695	7.220422	7.49343	7.49343
O15047	1707	sp|O15047|SET1A_HUMAN	6.456096	6.21442	6.430771	6.456096
O15054	1643	sp|O15054|KDM6B_HUMAN	NA	6.395763	NA	6.395763
O15056	1496	sp|O15056|SYNJ2_HUMAN	6.143669	6.1156725	6.675806	6.675806
O15066	747	sp|O15066|KIF3B_HUMAN	6.3508795	6.623281	7.353628	7.353628
O15067	1338	sp|O15067|PUR4_HUMAN	7.160728	7.351255	7.592743	7.592743
O15069	1562	sp|O15069|NACAD_HUMAN	7.030478	NA	NA	7.030478
O15075	740	sp|O15075|DCLK1_HUMAN	5.598944	NA	6.517037	6.517037
O15078	2479	sp|O15078|CE290_HUMAN	5.685231	NA	NA	5.685231
O15084	1053	sp|O15084|ANR28_HUMAN	6.621256	6.8273885	6.980317	6.980317
O15085	1522	sp|O15085|ARHGB_HUMAN	6.203359	5.585732	6.5102	6.5102
O15091	583	sp|O15091|MRRP3_HUMAN	5.897747	6.2675525	6.678854	6.678854
O15111	745	sp|O15111|IKKA_HUMAN	6.060253	6.381252	6.7915545	6.7915545
O15116	133	sp|O15116|LSM1_HUMAN	6.4454865	6.604636	7.889458	7.889458
O15118	1278	sp|O15118|NPC1_HUMAN	6.398613	6.3825205	6.971354	6.971354
O15121	323	sp|O15121|DEGS1_HUMAN	6.674402	NA	NA	6.674402
O15126	338	sp|O15126|SCAM1_HUMAN	6.599293	7.379867	7.417721	7.417721
O15127	329	sp|O15127|SCAM2_HUMAN	7.1973345	7.273973	7.615276	7.615276
O15131	536	sp|O15131|IMA6_HUMAN	NA	NA	6.769665	6.769665
O15143	372	sp|O15143|ARC1B_HUMAN	7.53949	7.582609	7.84411	7.84411
O15144	300	sp|O15144|ARPC2_HUMAN	7.459106	7.951284	8.003094	8.003094
O15145	178	sp|O15145|ARPC3_HUMAN	7.704228	7.7483015	7.711833	7.7483015
O15155	118	sp|O15155|BET1_HUMAN	6.580925	6.425779	6.707689	6.707689
O15156	539	sp|O15156|ZBT7B_HUMAN	6.595066	NA	6.916164	6.916164
O15160	346	sp|O15160|RPAC1_HUMAN	7.064421	7.3101275	7.8384365	7.8384365
O15162	318	sp|O15162|PLS1_HUMAN	6.4568385	6.187605	NA	6.4568385
O15164	1050	sp|O15164|TIF1A_HUMAN	6.189323	6.2747415	NA	6.2747415
O15173	223	sp|O15173|PGRC2_HUMAN	7.054038	7.548416	7.722848	7.722848
O15182	167	sp|O15182|CETN3_HUMAN	6.36178	NA	6.528827	6.528827
O15194	276	sp|O15194|CTDSL_HUMAN	NA	NA	6.650414	6.650414
O15198	467	sp|O15198|SMAD9_HUMAN	5.911158	NA	NA	5.911158
O15211	777	sp|O15211|RGL2_HUMAN	NA	NA	7.087178	7.087178
O15212	129	sp|O15212|PFD6_HUMAN	7.3086035	7.990152	8.018243	8.018243
O15213	610	sp|O15213|WDR46_HUMAN	6.75184	6.863204	7.2294	7.2294
O15226	690	sp|O15226|NKRF_HUMAN	6.6443295	6.313467	6.980576	6.980576
O15228	680	sp|O15228|GNPAT_HUMAN	6.482727	6.435894	6.8758935	6.8758935
O15230	3695	sp|O15230|LAMA5_HUMAN	5.422459	NA	6.6592375	6.6592375
O15231	689	sp|O15231|ZN185_HUMAN	6.964445	7.0936875	7.3678505	7.3678505
O15234	703	sp|O15234|CASC3_HUMAN	6.582641	6.404817	6.623983	6.623983
O15235	138	sp|O15235|RT12_HUMAN	6.083288	NA	NA	6.083288
O15240	615	sp|O15240|VGF_HUMAN	NA	6.020775	NA	6.020775
O15247	247	sp|O15247|CLIC2_HUMAN	6.58891	6.907102	7.031489	7.031489
O15254	700	sp|O15254|ACOX3_HUMAN	6.225162	6.7231625	6.886616	6.886616
O15258	196	sp|O15258|RER1_HUMAN	6.218115	7.699838	6.096215	7.699838
O15260	269	sp|O15260|SURF4_HUMAN	7.245909	7.947821	8.245364	8.245364
O15265	892	sp|O15265|ATX7_HUMAN	NA	5.874586	6.306618	6.306618
O15269	473	sp|O15269|SPTC1_HUMAN	6.825829	7.367356	7.128787	7.367356
O15270	562	sp|O15270|SPTC2_HUMAN	6.4372725	6.542664	6.751305	6.751305
O15287	622	sp|O15287|FANCG_HUMAN	5.683286	5.423868	6.426072	6.426072
O15294	1046	sp|O15294|OGT1_HUMAN	6.820773	7.139659	7.549298	7.549298
O15297	605	sp|O15297|PPM1D_HUMAN	6.438669	5.63841	6.225154	6.438669
O15305	246	sp|O15305|PMM2_HUMAN	7.153876	7.4512045	8.030762	8.030762
O15315	384	sp|O15315|RA51B_HUMAN	5.983969	NA	6.457301	6.457301
O15318	223	sp|O15318|RPC7_HUMAN	NA	NA	7.3000775	7.3000775
O15320	804	sp|O15320|CTGE5_HUMAN	6.776398	NA	6.91728	6.91728
O15321	606	sp|O15321|TM9S1_HUMAN	6.6859535	6.372249	7.293937	7.293937
O15327	924	sp|O15327|INP4B_HUMAN	6.106094	6.368659	6.664266	6.664266
O15347	200	sp|O15347|HMGB3_HUMAN	6.95142	7.958421	7.5066	7.958421
O15355	546	sp|O15355|PPM1G_HUMAN	7.513351	7.591131	8.04182	8.04182
O15357	1258	sp|O15357|SHIP2_HUMAN	6.555669	6.643551	7.062861	7.062861
O15360	1455	sp|O15360|FANCA_HUMAN	6.061113	5.597958	6.497289	6.497289
O15370	315	sp|O15370|SOX12_HUMAN	6.157396	NA	NA	6.157396
O15371	548	sp|O15371|EIF3D_HUMAN	7.579852	7.689717	7.8171755	7.8171755
O15372	352	sp|O15372|EIF3H_HUMAN	7.361293	7.5196855	7.8091865	7.8091865
O15379	428	sp|O15379|HDAC3_HUMAN	6.0599675	NA	6.119733	6.119733
O15381	856	sp|O15381|NVL_HUMAN	5.910464	6.500579	7.0981875	7.0981875
O15382	392	sp|O15382|BCAT2_HUMAN	6.649471	6.5846655	6.979298	6.979298
O15392	142	sp|O15392|BIRC5_HUMAN	6.372939	6.122347	6.572921	6.572921
O15394	837	sp|O15394|NCAM2_HUMAN	5.782938	NA	NA	5.782938
O15397	1037	sp|O15397|IPO8_HUMAN	7.00182	6.36903	6.854288	7.00182
O15400	261	sp|O15400|STX7_HUMAN	7.5941445	7.255004	7.348811	7.5941445
O15427	465	sp|O15427|MOT4_HUMAN	NA	NA	6.309162	6.309162
O15431	190	sp|O15431|COPT1_HUMAN	6.632488	7.105237	NA	7.105237
O15438	1527	sp|O15438|MRP3_HUMAN	NA	NA	6.110158	6.110158
