Cluster	category	obsRatio	expRatio	bgRatio	foldEnrich	pvalue	ontology	BH	Description	numDEInCat	numInCat	Foreground	Background	geneID	geneNames
F3	GO:0005925	51/243	11/243	331/7365	4.64	9.57516658477077e-07	CC	0.00212105898463647	(CC) focal adhesion	51	331	243	7365	O43491/O43707/O75369/O95819/O96013/P04792/P05388/P07237/P07737/P08133/P15880/P18124/P18206/P21291/P21333/P23396/P23528/P27348/P30101/P35221/P35579/P36578/P38646/P46777/P46940/P61026/P61353/P62140/P62280/P62424/P62917/P63104/P84098/Q00610/Q02952/Q07020/Q09666/Q14247/Q14847/Q15149/Q15366/Q15654/Q15942/Q7L576/Q8WUM4/Q8WX93/Q8WXH0/Q96N67/Q9P035/Q9UL25/Q9Y490	EPB41L2/ACTN4/FLNB/MAP4K4/PAK4/HSPB1/RPLP0/P4HB/PFN1/ANXA6/RPS2/RPL7/VCL/CSRP1/FLNA/RPS3/CFL1/YWHAQ/PDIA3/CTNNA1/MYH9/RPL4/HSPA9/RPL5/IQGAP1/RAB10/RPL27/PPP1CB/RPS11/RPL7A/RPL8/YWHAZ/RPL19/CLTC/AKAP12/RPL18/AHNAK/CTTN/LASP1/PLEC/PCBP2/TRIP6/ZYX/CYFIP1/PDCD6IP/PALLD/SYNE2/DOCK7/HACD3/RAB21/TLN1
F3	GO:0030426	11/243	3/243	72/7365	3.67	1.91553350543349e-06	CC	0.00363705083153093	(CC) growth cone	11	72	243	7365	O43390/O60716/P35580/P46940/Q14247/Q16643/Q16658/Q8WX93/Q93008/Q96N67/Q9Y4I1	HNRNPR/CTNND1/MYH10/IQGAP1/CTTN/DBN1/FSCN1/PALLD/USP9X/DOCK7/MYO5A
F3	GO:0003779	19/243	5/243	148/7365	3.8	1.14550150808534e-05	MF	0.0190310756799528	(MF) actin binding	19	148	243	7365	O43491/O43707/O75369/P07737/P18206/P35579/P35580/P47756/P49006/P50402/Q00839/Q13813/Q15149/Q16643/Q16658/Q8WX93/Q8WXH0/Q9UPN3/Q9Y2J2	EPB41L2/ACTN4/FLNB/PFN1/VCL/MYH9/MYH10/CAPZB/MARCKSL1/EMD/HNRNPU/SPTAN1/PLEC/DBN1/FSCN1/PALLD/SYNE2/MACF1/EPB41L3
F3	GO:0051015	19/243	4/243	121/7365	4.75	1.36530322115176e-05	MF	0.0201624945692533	(MF) actin filament binding	19	121	243	7365	O00159/O43707/P08133/P13639/P21333/P23528/P35221/P35579/P35580/P42704/P47756/P55196/Q14847/Q16658/Q7L576/Q8WXH0/Q9UPN3/Q9Y490/Q9Y4I1	MYO1C/ACTN4/ANXA6/EEF2/FLNA/CFL1/CTNNA1/MYH9/MYH10/LRPPRC/CAPZB/AFDN/LASP1/FSCN1/CYFIP1/SYNE2/MACF1/TLN1/MYO5A
F3	GO:0042641	5/243	1/243	9/7365	5	2.0422461025217e-05	CC	0.0271434929486159	(CC) actomyosin	5	9	243	7365	P35579/P35580/Q16643/Q8WUM4/Q9Y4I1	MYH9/MYH10/DBN1/PDCD6IP/MYO5A
F3	GO:0006888	19/243	5/243	144/7365	3.8	2.43639178432451e-05	BP	0.0294382574595064	(BP) ER to Golgi vesicle-mediated transport	19	144	243	7365	O15027/O43264/O60763/O75396/O95292/P47756/P48444/P53618/P53621/P55072/P61019/P62820/Q08379/Q13813/Q14203/Q14204/Q14789/Q6DD88/Q9P0L0	SEC16A/ZW10/USO1/SEC22B/VAPB/CAPZB/ARCN1/COPB1/COPA/VCP/RAB2A/RAB1A/GOLGA2/SPTAN1/DCTN1/DYNC1H1/GOLGB1/ATL3/VAPA
F4	GO:0045296	48/181	7/181	256/7365	6.86	6.86361803804248e-14	MF	9.12243473436226e-10	(MF) cadherin binding	48	256	181	7365	O00299/O00571/O60716/O60763/O75369/O95292/P06733/P07737/P13639/P14618/P15880/P21333/P26196/P26641/P29692/P33176/P35221/P35579/P37802/P46940/P47756/P47914/P49327/P50402/P50914/P50990/P55196/P62424/P63104/Q01970/Q02878/Q07157/Q08379/Q09666/Q13813/Q14247/Q14847/Q15149/Q15365/Q15691/Q16643/Q7Z2W4/Q8NC51/Q8WWM7/Q92616/Q9P0L0/Q9UPN3/Q9Y490	CLIC1/DDX3X/CTNND1/USO1/FLNB/VAPB/ENO1/PFN1/EEF2/PKM/RPS2/FLNA/DDX6/EEF1G/EEF1D/KIF5B/CTNNA1/MYH9/TAGLN2/IQGAP1/CAPZB/RPL29/FASN/EMD/RPL14/CCT8/AFDN/RPL7A/YWHAZ/PLCB3/RPL6/TJP1/GOLGA2/AHNAK/SPTAN1/CTTN/LASP1/PLEC/PCBP1/MAPRE1/DBN1/ZC3HAV1/SERBP1/ATXN2L/GCN1/VAPA/MACF1/TLN1
F4	GO:0016020	100/181	34/181	1369/7365	2.94	2.15724036075977e-13	CC	1.43359408174291e-09	(CC) membrane	100	1369	181	7365	O00159/O00203/O00299/O14617/O14745/O60763/O95793/P00387/P04406/P04899/P05023/P06733/P07355/P07737/P07814/P07910/P08133/P09874/P10809/P11413/P11586/P13639/P15880/P16435/P16615/P18124/P19338/P20700/P21333/P22626/P23528/P26196/P26641/P27348/P27708/P27824/P31689/P33176/P35579/P36578/P40222/P42704/P43243/P46777/P47914/P48444/P49327/P49411/P50402/P50851/P50914/P52292/P53618/P53621/P53985/P55011/P55060/P55209/P58107/P60660/P61353/P62241/P62280/P62424/P62753/P62917/P63010/P78527/P84098/Q00610/Q00839/Q01970/Q02543/Q02878/Q07065/Q09666/Q10471/Q13813/Q14204/Q14739/Q14789/Q14974/Q15149/Q15365/Q15366/Q5SRE5/Q63HN8/Q6P2E9/Q8NC51/Q8WUM4/Q8WWM7/Q92616/Q93008/Q99805/Q9BSJ8/Q9HC35/Q9P2E9/Q9ULH0/Q9UPN3/Q9Y4I1	MYO1C/AP3B1/CLIC1/AP3D1/SLC9A3R1/USO1/STAU1/CYB5R3/GAPDH/GNAI2/ATP1A1/ENO1/ANXA2/PFN1/EPRS/HNRNPC/ANXA6/PARP1/HSPD1/G6PD/MTHFD1/EEF2/RPS2/POR/ATP2A2/RPL7/NCL/LMNB1/FLNA/HNRNPA2B1/CFL1/DDX6/EEF1G/YWHAQ/CAD/CANX/DNAJA1/KIF5B/MYH9/RPL4/TXLNA/LRPPRC/MATR3/RPL5/RPL29/ARCN1/FASN/TUFM/EMD/LRBA/RPL14/KPNA2/COPB1/COPA/SLC16A1/SLC12A2/CSE1L/NAP1L1/EPPK1/MYL6/RPL27/RPS8/RPS11/RPL7A/RPS6/RPL8/AP2B1/PRKDC/RPL19/CLTC/HNRNPU/PLCB3/RPL18A/RPL6/CKAP4/AHNAK/GALNT2/SPTAN1/DYNC1H1/LBR/GOLGB1/KPNB1/PLEC/PCBP1/PCBP2/NUP188/RNF213/EDC4/SERBP1/PDCD6IP/ATXN2L/GCN1/USP9X/TM9SF2/ESYT1/EML4/RRBP1/KIDINS220/MACF1/MYO5A
F4	GO:0005925	45/181	9/181	331/7365	5	1.28263709451607e-07	CC	0.000568250987440436	(CC) focal adhesion	45	331	181	7365	O43491/O43707/O75369/O95819/P04792/P07237/P07737/P08133/P15880/P18124/P21291/P21333/P23528/P27348/P30101/P35221/P35579/P36578/P46777/P46940/P61026/P61353/P62241/P62280/P62424/P62917/P63104/P84098/Q00610/Q02878/Q02952/Q09666/Q13283/Q14247/Q14847/Q15149/Q15366/Q15691/Q15942/Q7L576/Q8WUM4/Q8WX93/Q96N67/Q9P035/Q9Y490	EPB41L2/ACTN4/FLNB/MAP4K4/HSPB1/P4HB/PFN1/ANXA6/RPS2/RPL7/CSRP1/FLNA/CFL1/YWHAQ/PDIA3/CTNNA1/MYH9/RPL4/RPL5/IQGAP1/RAB10/RPL27/RPS8/RPS11/RPL7A/RPL8/YWHAZ/RPL19/CLTC/RPL6/AKAP12/AHNAK/G3BP1/CTTN/LASP1/PLEC/PCBP2/MAPRE1/ZYX/CYFIP1/PDCD6IP/PALLD/DOCK7/HACD3/TLN1
F4	GO:0003723	88/181	29/181	1163/7365	3.03	6.26808849926523e-07	MF	0.00208272910609336	(MF) RNA binding	88	1163	181	7365	O00571/O43390/O43707/O60763/O60841/O75369/O75534/O95793/P04792/P05455/P06733/P07237/P07355/P07737/P07910/P09874/P10809/P13639/P13667/P14618/P15880/P16989/P18124/P18621/P19338/P21291/P21333/P22626/P23588/P26196/P27816/P27824/P30101/P35221/P35579/P36578/P42704/P43243/P46777/P47914/P48444/P49327/P49411/P50914/P52292/P55209/P58107/P61353/P62241/P62280/P62424/P62753/P62917/P63104/P67809/P78527/P84098/Q00610/Q00839/Q02543/Q02878/Q07065/Q09666/Q13247/Q13283/Q13310/Q14103/Q14157/Q14204/Q14739/Q14789/Q14974/Q14978/Q15149/Q15365/Q15366/Q15691/Q15942/Q7Z2W4/Q86UE4/Q8NC51/Q8WWM7/Q92616/Q92973/Q9HCE1/Q9P2E9/Q9UPN3/Q9Y4I1	DDX3X/HNRNPR/ACTN4/USO1/EIF5B/FLNB/CSDE1/STAU1/HSPB1/SSB/ENO1/P4HB/ANXA2/PFN1/HNRNPC/PARP1/HSPD1/EEF2/PDIA4/PKM/RPS2/YBX3/RPL7/RPL17/NCL/CSRP1/FLNA/HNRNPA2B1/EIF4B/DDX6/MAP4/CANX/PDIA3/CTNNA1/MYH9/RPL4/LRPPRC/MATR3/RPL5/RPL29/ARCN1/FASN/TUFM/RPL14/KPNA2/NAP1L1/EPPK1/RPL27/RPS8/RPS11/RPL7A/RPS6/RPL8/YWHAZ/YBX1/PRKDC/RPL19/CLTC/HNRNPU/RPL18A/RPL6/CKAP4/AHNAK/SRSF6/G3BP1/PABPC4/HNRNPD/UBAP2L/DYNC1H1/LBR/GOLGB1/KPNB1/NOLC1/PLEC/PCBP1/PCBP2/MAPRE1/ZYX/ZC3HAV1/MTDH/SERBP1/ATXN2L/GCN1/TNPO1/MOV10/RRBP1/MACF1/MYO5A
