Cluster	category	obsRatio	expRatio	bgRatio	foldEnrich	pvalue	numDEInCat	numInCat	Foreground	Background	geneID	geneNames
F9	Nucleotide-bd_a/b_plait_sf	54/491	12/491	173/7398	4.5	4.02932290810058e-14	54	173	491	7398	O14979/O15042/O43390/O60506/O75494/P05455/P07910/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55884/P62750/P62995/P84103/P98179/Q01081/Q01085/Q05519/Q07955/Q12849/Q13148/Q13242/Q13247/Q13310/Q14103/Q14498/Q14966/Q15233/Q15424/Q15717/Q16629/Q96EP5/Q96PK6/Q96T37/Q9BWF3/Q9BXP5/Q9GZT3/Q9NWH9/Q9UKM9/Q9UN86/Q9Y6M1	HNRNPDL/U2SURP/HNRNPR/SYNCRIP/SRSF10/SSB/HNRNPC/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/EIF3B/RPL23A/TRA2B/SRSF3/RBM3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/TARDBP/SRSF9/SRSF6/PABPC4/HNRNPD/RBM39/ZNF638/NONO/SAFB/ELAVL1/SRSF7/DAZAP1/RBM14-RBM4/RBM14/RBM15/RBM4/SRRT/SLIRP/SLTM/RALY/G3BP2/IGF2BP2
F9	ARM-type_fold	36/491	19/491	274/7398	1.89	1.3263313493652e-06	36	274	491	7398	O00203/O00410/O14980/O60716/O60763/O75533/P25054/P52292/P53618/P55010/P55060/P63010/P78344/P78527/Q00610/Q03701/Q04637/Q14008/Q14669/Q14671/Q14974/Q15021/Q29RF7/Q5JTH9/Q5SRE5/Q5T4S7/Q5UIP0/Q7Z6Z7/Q8TCG1/Q8TEX9/Q92616/Q92973/Q93008/Q9HCG8/Q9NXF1/Q9Y6E2	AP3B1/IPO5/XPO1/CTNND1/USO1/SF3B1/APC/KPNA2/COPB1/EIF5/CSE1L/AP2B1/EIF4G2/PRKDC/CLTC/CEBPZ/EIF4G1/CKAP5/TRIP12/PUM1/KPNB1/NCAPD2/PDS5A/RRP12/NUP188/UBR4/RIF1/HUWE1/CIP2A/IPO4/GCN1/TNPO1/USP9X/CWC22/TEX10/BZW2
F9	Plakin_repeat_sf	5/491	1/491	6/7398	5	6.90290843463142e-06	5	6	491	7398	P15924/P58107/Q03001/Q15149/Q9UPN3	DSP/EPPK1/DST/PLEC/MACF1
F9	Plectin_repeat	5/491	1/491	6/7398	5	6.90290843463142e-06	5	6	491	7398	P15924/P58107/Q03001/Q15149/Q9UPN3	DSP/EPPK1/DST/PLEC/MACF1
F9	KH_dom_type_1	12/491	3/491	32/7398	4	1.55028989417931e-05	12	32	491	7398	P51114/P51116/P57721/Q00341/Q07666/Q15365/Q15366/Q8TCS8/Q92945/Q96AE4/Q96I24/Q9Y6M1	FXR1/FXR2/PCBP3/HDLBP/KHDRBS1/PCBP1/PCBP2/PNPT1/KHSRP/FUBP1/FUBP3/IGF2BP2
F9	KH_dom	12/491	3/491	32/7398	4	2.02781399593025e-05	12	32	491	7398	P51114/P51116/P57721/Q00341/Q07666/Q15365/Q15366/Q8TCS8/Q92945/Q96AE4/Q96I24/Q9Y6M1	FXR1/FXR2/PCBP3/HDLBP/KHDRBS1/PCBP1/PCBP2/PNPT1/KHSRP/FUBP1/FUBP3/IGF2BP2
F9	KH_dom_type_1_sf	12/491	3/491	36/7398	4	3.9853961358283e-05	12	36	491	7398	P51114/P51116/P57721/Q00341/Q07666/Q15365/Q15366/Q8TCS8/Q92945/Q96AE4/Q96I24/Q9Y6M1	FXR1/FXR2/PCBP3/HDLBP/KHDRBS1/PCBP1/PCBP2/PNPT1/KHSRP/FUBP1/FUBP3/IGF2BP2
F9	Spectrin/alpha-actinin	8/491	2/491	18/7398	4	4.55129973489924e-05	8	18	491	7398	O43707/O75962/P15924/Q03001/Q13813/Q15149/Q8WXH0/Q9UPN3	ACTN4/TRIO/DSP/DST/SPTAN1/PLEC/SYNE2/MACF1
F10	RBD_domain_sf	54/405	10/405	174/7398	5.4	2.06668397682633e-17	54	174	405	7398	O14979/O43390/O60506/O75494/O75821/P05455/P07910/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P62995/P84103/P98179/Q01081/Q01085/Q05519/Q07955/Q12849/Q13148/Q13247/Q13283/Q13310/Q14103/Q14966/Q15233/Q15424/Q15717/Q16629/Q71RC2/Q8IY67/Q96E39/Q96PK6/Q96T37/Q99729/Q9GZT3/Q9NR30/Q9NWH9/Q9UKM9/Q9UKV3/Q9UN86/Q9Y6M1	HNRNPDL/HNRNPR/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/TRA2B/SRSF3/RBM3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/TARDBP/SRSF6/G3BP1/PABPC4/HNRNPD/ZNF638/NONO/SAFB/ELAVL1/SRSF7/LARP4/RAVER1/RBMXL1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/SLIRP/DDX21/SLTM/RALY/ACIN1/G3BP2/IGF2BP2
F10	RRM_dom	51/405	9/405	153/7398	5.67	1.36668551515865e-16	51	153	405	7398	O14979/O43390/O60506/O75494/O75821/P05455/P07910/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P62995/P84103/P98179/Q01081/Q01085/Q05519/Q07955/Q12849/Q13148/Q13247/Q13283/Q13310/Q14103/Q14966/Q15233/Q15424/Q15717/Q16629/Q8IY67/Q96E39/Q96PK6/Q96T37/Q99729/Q9GZT3/Q9NWH9/Q9UKM9/Q9UN86/Q9Y6M1	HNRNPDL/HNRNPR/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/TRA2B/SRSF3/RBM3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/TARDBP/SRSF6/G3BP1/PABPC4/HNRNPD/ZNF638/NONO/SAFB/ELAVL1/SRSF7/RAVER1/RBMXL1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/SLIRP/SLTM/RALY/G3BP2/IGF2BP2
F10	Nucleotide-bd_a/b_plait_sf	52/405	10/405	173/7398	5.2	3.9413676413706e-16	52	173	405	7398	O14979/O43390/O60506/O75494/O75821/P05455/P07910/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31483/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P62750/P62995/P84103/P98179/Q01081/Q01085/Q05519/Q07955/Q12849/Q13148/Q13247/Q13310/Q14103/Q14966/Q15233/Q15424/Q15717/Q16629/Q8IY67/Q96E39/Q96PK6/Q96T37/Q99729/Q9GZT3/Q9NWH9/Q9UKM9/Q9UKV3/Q9UN86/Q9Y6M1	HNRNPDL/HNRNPR/SYNCRIP/SRSF10/EIF3G/SSB/HNRNPC/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/TIA1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/RPL23A/TRA2B/SRSF3/RBM3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/TARDBP/SRSF6/PABPC4/HNRNPD/ZNF638/NONO/SAFB/ELAVL1/SRSF7/RAVER1/RBMXL1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/SLIRP/SLTM/RALY/ACIN1/G3BP2/IGF2BP2
F10	ARM-type_fold	29/405	15/405	274/7398	1.93	1.70279998558959e-05	29	274	405	7398	O00203/O00410/O14980/O60716/O60763/O75533/P25054/P52292/P53618/P55060/P63010/P78527/Q00610/Q04637/Q13200/Q14669/Q14671/Q14974/Q15021/Q29RF7/Q5SRE5/Q5T4S7/Q5UIP0/Q7Z6Z7/Q8IZL8/Q8TEX9/Q92616/Q92973/Q93008	AP3B1/IPO5/XPO1/CTNND1/USO1/SF3B1/APC/KPNA2/COPB1/CSE1L/AP2B1/PRKDC/CLTC/EIF4G1/PSMD2/TRIP12/PUM1/KPNB1/NCAPD2/PDS5A/NUP188/UBR4/RIF1/HUWE1/PELP1/IPO4/GCN1/TNPO1/USP9X
F11	RBD_domain_sf	47/348	9/348	174/7398	5.22	1.94453422455086e-14	47	174	348	7398	O14979/O43390/O75494/O75821/P05455/P07910/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P43243/P49756/P51991/P52272/P52597/P62995/P84103/Q01081/Q01085/Q05519/Q07955/Q12849/Q12926/Q13148/Q13151/Q13242/Q13247/Q13310/Q14103/Q14151/Q15233/Q15424/Q15717/Q16629/Q71RC2/Q86V81/Q96PK6/Q99729/Q9BWF3/Q9GZT3/Q9NR30/Q9UKM9/Q9UKV3/Q9UN86	HNRNPDL/HNRNPR/SRSF10/EIF3G/SSB/HNRNPC/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/TRA2B/SRSF3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/ELAVL2/TARDBP/HNRNPA0/SRSF9/SRSF6/PABPC4/HNRNPD/SAFB2/NONO/SAFB/ELAVL1/SRSF7/LARP4/ALYREF/RBM14-RBM4/RBM14/HNRNPAB/RBM4/SLIRP/DDX21/RALY/ACIN1/G3BP2
F11	Nucleotide-bd_a/b_plait_sf	46/348	9/348	173/7398	5.11	7.61818138276707e-14	46	173	348	7398	O14979/O43390/O75494/O75821/P05455/P07910/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P43243/P49756/P51991/P52272/P52597/P62750/P62995/P84103/Q01081/Q01085/Q05519/Q07955/Q12849/Q12926/Q13148/Q13151/Q13242/Q13247/Q13310/Q14103/Q14151/Q15233/Q15424/Q15717/Q16629/Q86V81/Q96PK6/Q99729/Q9BWF3/Q9GZT3/Q9UKM9/Q9UKV3/Q9UN86	HNRNPDL/HNRNPR/SRSF10/EIF3G/SSB/HNRNPC/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/RPL23A/TRA2B/SRSF3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/ELAVL2/TARDBP/HNRNPA0/SRSF9/SRSF6/PABPC4/HNRNPD/SAFB2/NONO/SAFB/ELAVL1/SRSF7/ALYREF/RBM14-RBM4/RBM14/HNRNPAB/RBM4/SLIRP/RALY/ACIN1/G3BP2
F11	RRM_dom	44/348	8/348	153/7398	5.5	2.36319597308629e-13	44	153	348	7398	O14979/O43390/O75494/O75821/P05455/P07910/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P43243/P49756/P51991/P52272/P52597/P62995/P84103/Q01081/Q01085/Q05519/Q07955/Q12849/Q12926/Q13148/Q13151/Q13242/Q13247/Q13310/Q14103/Q14151/Q15233/Q15424/Q15717/Q16629/Q86V81/Q96PK6/Q99729/Q9BWF3/Q9GZT3/Q9UKM9/Q9UN86	HNRNPDL/HNRNPR/SRSF10/EIF3G/SSB/HNRNPC/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/TRA2B/SRSF3/U2AF1L5/U2AF1/TIAL1/SRSF11/SRSF1/GRSF1/ELAVL2/TARDBP/HNRNPA0/SRSF9/SRSF6/PABPC4/HNRNPD/SAFB2/NONO/SAFB/ELAVL1/SRSF7/ALYREF/RBM14-RBM4/RBM14/HNRNPAB/RBM4/SLIRP/RALY/G3BP2
F12	RBD_domain_sf	63/395	10/395	174/7398	6.3	1.44317445151107e-24	63	174	395	7398	O14979/O15042/O43251/O43390/O75494/P05455/P07910/P08621/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P84103/P98175/Q01081/Q05519/Q12849/Q13148/Q13242/Q13247/Q13283/Q13310/Q14103/Q14151/Q14498/Q14966/Q15233/Q15424/Q15717/Q16629/Q4G0J3/Q71RC2/Q86V81/Q8IXT5/Q8WXA9/Q92804/Q92879/Q96EP5/Q96PK6/Q96T37/Q9BWF3/Q9GZT3/Q9NR30/Q9NWH9/Q9P2K5/Q9UKM9/Q9UKV3/Q9UN86/Q9Y6M1	HNRNPDL/U2SURP/RBFOX2/HNRNPR/SRSF10/SSB/HNRNPC/SNRNP70/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/SRSF3/RBM10/U2AF1L5/U2AF1/SRSF11/GRSF1/TARDBP/SRSF9/SRSF6/G3BP1/PABPC4/HNRNPD/SAFB2/RBM39/ZNF638/NONO/SAFB/ELAVL1/SRSF7/LARP7/LARP4/ALYREF/RBM12B/SREK1/TAF15/CELF1/DAZAP1/RBM14-RBM4/RBM14/RBM15/RBM4/SLIRP/DDX21/SLTM/MYEF2/RALY/ACIN1/G3BP2/IGF2BP2
F12	RRM_dom	60/395	9/395	153/7398	6.67	8.47886518567448e-24	60	153	395	7398	O14979/O15042/O43251/O43390/O75494/P05455/P07910/P08621/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P84103/P98175/Q01081/Q05519/Q12849/Q13148/Q13242/Q13247/Q13283/Q13310/Q14103/Q14151/Q14498/Q14966/Q15233/Q15424/Q15717/Q16629/Q4G0J3/Q86V81/Q8IXT5/Q8WXA9/Q92804/Q92879/Q96EP5/Q96PK6/Q96T37/Q9BWF3/Q9GZT3/Q9NWH9/Q9P2K5/Q9UKM9/Q9UN86/Q9Y6M1	HNRNPDL/U2SURP/RBFOX2/HNRNPR/SRSF10/SSB/HNRNPC/SNRNP70/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/SRSF3/RBM10/U2AF1L5/U2AF1/SRSF11/GRSF1/TARDBP/SRSF9/SRSF6/G3BP1/PABPC4/HNRNPD/SAFB2/RBM39/ZNF638/NONO/SAFB/ELAVL1/SRSF7/LARP7/ALYREF/RBM12B/SREK1/TAF15/CELF1/DAZAP1/RBM14-RBM4/RBM14/RBM15/RBM4/SLIRP/SLTM/MYEF2/RALY/G3BP2/IGF2BP2
F12	Nucleotide-bd_a/b_plait_sf	61/395	10/395	173/7398	6.1	4.89510266959093e-23	61	173	395	7398	O14979/O15042/O43251/O43390/O75494/P05455/P07910/P08621/P11940/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62750/P62995/P84103/P98175/Q01081/Q05519/Q12849/Q13148/Q13242/Q13247/Q13310/Q14103/Q14151/Q14498/Q14966/Q15233/Q15424/Q15717/Q16629/Q4G0J3/Q86V81/Q8IXT5/Q8WXA9/Q92804/Q92879/Q96EP5/Q96PK6/Q96T37/Q9BWF3/Q9GZT3/Q9NWH9/Q9P2K5/Q9UKM9/Q9UKV3/Q9UN86/Q9Y6M1	HNRNPDL/U2SURP/RBFOX2/HNRNPR/SRSF10/SSB/HNRNPC/SNRNP70/PABPC1/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/RPL23A/TRA2B/SRSF3/RBM10/U2AF1L5/U2AF1/SRSF11/GRSF1/TARDBP/SRSF9/SRSF6/PABPC4/HNRNPD/SAFB2/RBM39/ZNF638/NONO/SAFB/ELAVL1/SRSF7/LARP7/ALYREF/RBM12B/SREK1/TAF15/CELF1/DAZAP1/RBM14-RBM4/RBM14/RBM15/RBM4/SLIRP/SLTM/MYEF2/RALY/ACIN1/G3BP2/IGF2BP2
F12	SAP_dom	10/395	1/395	18/7398	10	8.19692410029429e-08	10	18	395	7398	P12956/P35659/Q00839/Q13435/Q14151/Q15424/Q1KMD3/Q9BUJ2/Q9NWH9/Q9UKV3	XRCC6/DEK/HNRNPU/SF3B2/SAFB2/SAFB/HNRNPUL2/HNRNPUL1/SLTM/ACIN1
F12	SAP_dom_sf	10/395	2/395	20/7398	5	3.74720104213766e-07	10	20	395	7398	P12956/P35659/Q00839/Q13435/Q14151/Q15424/Q1KMD3/Q9BUJ2/Q9NWH9/Q9UKV3	XRCC6/DEK/HNRNPU/SF3B2/SAFB2/SAFB/HNRNPUL2/HNRNPUL1/SLTM/ACIN1
F13	RBD_domain_sf	75/476	12/476	174/7398	6.25	4.41761035271365e-32	75	174	476	7398	O14979/O15042/O43251/O43390/O60506/O75494/P05455/P07910/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P78332/P84103/P98175/P98179/Q01081/Q01085/Q01844/Q05519/Q07955/Q13148/Q13151/Q13242/Q13247/Q13283/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15233/Q15424/Q15427/Q15717/Q16629/Q4G0J3/Q76FK4/Q86V81/Q8IXT5/Q8N684/Q8NDT2/Q8WXA9/Q92804/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BQ39/Q9BWF3/Q9BXP5/Q9BY77/Q9BYG3/Q9NR30/Q9NTZ6/Q9NW13/Q9NWH9/Q9P2K5/Q9UKM9/Q9UKV3/Q9Y4C8	HNRNPDL/U2SURP/RBFOX2/HNRNPR/SYNCRIP/SRSF10/SSB/HNRNPC/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/RBM6/SRSF3/RBM10/RBM3/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/TARDBP/HNRNPA0/SRSF9/SRSF6/G3BP1/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/NONO/SAFB/SF3B4/ELAVL1/SRSF7/LARP7/NOL8/ALYREF/RBM12B/CPSF7/RBM15B/SREK1/TAF15/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/DDX50/RBM4/SRRT/POLDIP3/NIFK/DDX21/RBM12/RBM28/SLTM/MYEF2/RALY/ACIN1/RBM19
F13	RRM_dom	71/476	10/476	153/7398	7.1	3.89096707683664e-31	71	153	476	7398	O14979/O15042/O43251/O43390/O60506/O75494/P05455/P07910/P14866/P19338/P22626/P23246/P23588/P26599/P31942/P31943/P35637/P43243/P49756/P51991/P52272/P52597/P55795/P55884/P62995/P78332/P84103/P98175/P98179/Q01081/Q01085/Q01844/Q05519/Q07955/Q13148/Q13151/Q13242/Q13247/Q13283/Q13310/Q14011/Q14103/Q14151/Q14498/Q14966/Q15233/Q15424/Q15427/Q15717/Q16629/Q4G0J3/Q76FK4/Q86V81/Q8IXT5/Q8N684/Q8NDT2/Q8WXA9/Q92804/Q96EP5/Q96PK6/Q96T37/Q99729/Q9BWF3/Q9BY77/Q9BYG3/Q9NTZ6/Q9NW13/Q9NWH9/Q9P2K5/Q9UKM9/Q9Y4C8	HNRNPDL/U2SURP/RBFOX2/HNRNPR/SYNCRIP/SRSF10/SSB/HNRNPC/HNRNPL/NCL/HNRNPA2B1/SFPQ/EIF4B/PTBP1/HNRNPH3/HNRNPH1/FUS/MATR3/RBM25/HNRNPA3/HNRNPM/HNRNPF/HNRNPH2/EIF3B/TRA2B/RBM6/SRSF3/RBM10/RBM3/U2AF1L5/U2AF1/TIAL1/EWSR1/SRSF11/SRSF1/TARDBP/HNRNPA0/SRSF9/SRSF6/G3BP1/PABPC4/CIRBP/HNRNPD/SAFB2/RBM39/ZNF638/NONO/SAFB/SF3B4/ELAVL1/SRSF7/LARP7/NOL8/ALYREF/RBM12B/CPSF7/RBM15B/SREK1/TAF15/DAZAP1/RBM14-RBM4/RBM14/RBM15/HNRNPAB/RBM4/POLDIP3/NIFK/RBM12/RBM28/SLTM/MYEF2/RALY/RBM19
